CO2_Storage,Zone,MWh_per_tonne,Var_OM_Cost_per_tonne,Max_capacity_tonne_per_yr,Max_injection_rate_tonne_per_hr,CO2_Injection_Min_Output,CO2_Injection_Max_Output
SE_WashitaFredericksburg1,1,0,6.1,47536000,19634.7,0,1
SE_Lower_Tuscaloosa02,1,0,6.4,51454000,21367.2,0,1
SE_WashitaFredericksburg2,1,0,6.6,30401000,12704.8,0,1
SE_Cedar_KeysLawson2,1,0,7.4,35252000,14437.3,0,1
SE_Paluxy5,1,0,7.6,21541000,8662.4,0,1
SE_Lower_Tuscaloosa03,1,0,7.8,131717000,55439.2,0,1
SE_Paluxy4,1,0,8,35727000,15014.8,0,1
SE_Lower_Tuscaloosa04,1,0,9.1,17745000,6929.9,0,1
SE_Cedar_KeysLawson1,1,0,9.4,7755000,2887.5,0,1
SE_Lower_Tuscaloosa05,1,0,9.8,22899000,9239.9,0,1
SE_Sunniland1,1,0,18.9,2248000,577.5,0,1
