Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3
50000000,1,1,0,1,168,1,1,811,773,406
,,,,,,,2,811,773,406
,,,,,,,3,811,773,406
,,,,,,,4,811,773,406
,,,,,,,5,811,773,406
,,,,,,,6,811,773,406
,,,,,,,7,811,773,406
,,,,,,,8,811,773,406
,,,,,,,9,811,773,406
,,,,,,,10,814,776,408
,,,,,,,11,811,773,406
,,,,,,,12,811,773,406
,,,,,,,13,811,773,406
,,,,,,,14,811,773,406
,,,,,,,15,811,773,406
,,,,,,,16,811,773,406
,,,,,,,17,811,773,406
,,,,,,,18,811,773,406
,,,,,,,19,811,773,406
,,,,,,,20,814,776,408
,,,,,,,21,811,773,406
,,,,,,,22,811,773,406
,,,,,,,23,811,773,406
,,,,,,,24,811,773,406
,,,,,,,25,811,773,406
,,,,,,,26,811,773,406
,,,,,,,27,811,773,406
,,,,,,,28,811,773,406
,,,,,,,29,811,773,406
,,,,,,,30,814,776,408
,,,,,,,31,811,773,406
,,,,,,,32,811,773,406
,,,,,,,33,811,773,406
,,,,,,,34,811,773,406
,,,,,,,35,811,773,406
,,,,,,,36,811,773,406
,,,,,,,37,811,773,406
,,,,,,,38,811,773,406
,,,,,,,39,811,773,406
,,,,,,,40,814,776,408
,,,,,,,41,811,773,406
,,,,,,,42,811,773,406
,,,,,,,43,811,773,406
,,,,,,,44,811,773,406
,,,,,,,45,811,773,406
,,,,,,,46,811,773,406
,,,,,,,47,811,773,406
,,,,,,,48,811,773,406
,,,,,,,49,811,773,406
,,,,,,,50,814,776,408
,,,,,,,51,811,773,406
,,,,,,,52,811,773,406
,,,,,,,53,811,773,406
,,,,,,,54,811,773,406
,,,,,,,55,811,773,406
,,,,,,,56,811,773,406
,,,,,,,57,811,773,406
,,,,,,,58,811,773,406
,,,,,,,59,811,773,406
,,,,,,,60,814,776,408
,,,,,,,61,811,773,406
,,,,,,,62,811,773,406
,,,,,,,63,811,773,406
,,,,,,,64,811,773,406
,,,,,,,65,811,773,406
,,,,,,,66,811,773,406
,,,,,,,67,811,773,406
,,,,,,,68,811,773,406
,,,,,,,69,811,773,406
,,,,,,,70,814,776,408
,,,,,,,71,811,773,406
,,,,,,,72,811,773,406
,,,,,,,73,811,773,406
,,,,,,,74,811,773,406
,,,,,,,75,811,773,406
,,,,,,,76,811,773,406
,,,,,,,77,811,773,406
,,,,,,,78,811,773,406
,,,,,,,79,811,773,406
,,,,,,,80,814,776,408
,,,,,,,81,811,773,406
,,,,,,,82,811,773,406
,,,,,,,83,811,773,406
,,,,,,,84,811,773,406
,,,,,,,85,811,773,406
,,,,,,,86,811,773,406
,,,,,,,87,811,773,406
,,,,,,,88,811,773,406
,,,,,,,89,811,773,406
,,,,,,,90,814,776,408
,,,,,,,91,811,773,406
,,,,,,,92,811,773,406
,,,,,,,93,811,773,406
,,,,,,,94,811,773,406
,,,,,,,95,811,773,406
,,,,,,,96,811,773,406
,,,,,,,97,811,773,406
,,,,,,,98,811,773,406
,,,,,,,99,811,773,406
,,,,,,,100,814,776,408
,,,,,,,101,811,773,406
,,,,,,,102,811,773,406
,,,,,,,103,811,773,406
,,,,,,,104,811,773,406
,,,,,,,105,811,773,406
,,,,,,,106,811,773,406
,,,,,,,107,811,773,406
,,,,,,,108,811,773,406
,,,,,,,109,811,773,406
,,,,,,,110,814,776,408
,,,,,,,111,811,773,406
,,,,,,,112,811,773,406
,,,,,,,113,811,773,406
,,,,,,,114,811,773,406
,,,,,,,115,811,773,406
,,,,,,,116,811,773,406
,,,,,,,117,811,773,406
,,,,,,,118,811,773,406
,,,,,,,119,811,773,406
,,,,,,,120,814,776,408
,,,,,,,121,811,773,406
,,,,,,,122,811,773,406
,,,,,,,123,811,773,406
,,,,,,,124,811,773,406
,,,,,,,125,811,773,406
,,,,,,,126,811,773,406
,,,,,,,127,811,773,406
,,,,,,,128,811,773,406
