Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3
50000000,1,1,0,1,168,1,1,1.62,9.51,3.58
,,,,,,,2,1.22,7.17,2.7
,,,,,,,3,1.75,10.29,3.88
,,,,,,,4,4,23.55,8.87
,,,,,,,5,8.24,48.5,18.27
,,,,,,,6,13.41,78.92,29.72
,,,,,,,7,16.79,98.8,37.21
,,,,,,,8,19.24,113.23,42.64
,,,,,,,9,20.24,119.08,44.84
,,,,,,,10,21.43,126.1,47.49
,,,,,,,11,25.41,149.49,56.3
,,,,,,,12,27.06,159.24,59.97
,,,,,,,13,27.86,163.92,61.73
,,,,,,,14,27.33,160.8,60.55
,,,,,,,15,27.06,159.24,59.97
,,,,,,,16,25.94,152.61,57.47
,,,,,,,17,24.61,144.81,54.53
,,,,,,,18,21.76,128.04,48.22
,,,,,,,19,18.12,106.6,40.14
,,,,,,,20,13.81,81.26,30.6
,,,,,,,21,10.5,61.76,23.26
,,,,,,,22,7.32,43.05,16.21
,,,,,,,23,4.53,26.67,10.04
,,,,,,,24,2.68,15.75,5.93
,,,,,,,25,2.49,14.67,5.53
,,,,,,,26,1.8,10.6,3.99
,,,,,,,27,1.66,9.78,3.68
,,,,,,,28,2.46,14.47,5.45
,,,,,,,29,4.43,26.09,9.82
,,,,,,,30,7.27,42.8,16.12
,,,,,,,31,10.98,64.61,24.33
,,,,,,,32,15,88.25,33.23
,,,,,,,33,18.95,111.48,41.98
,,,,,,,34,21.02,123.71,46.59
,,,,,,,35,21.68,127.58,48.05
,,,,,,,36,22.62,133.08,50.12
,,,,,,,37,24.07,141.64,53.34
,,,,,,,38,25.15,147.96,55.72
,,,,,,,39,26.32,154.89,58.33
,,,,,,,40,26.98,158.76,59.79
,,,,,,,41,25.67,151.02,56.87
,,,,,,,42,23.24,136.75,51.5
,,,,,,,43,19.29,113.52,42.75
,,,,,,,44,14.93,87.84,33.08
